[2023-05-18 23:24:57,807] - INFO - server started on 127.0.0.1:8000
[2023-05-18 23:24:58,731] - INFO - connected 127.0.0.1:58760
[2023-05-18 23:24:58,732] - INFO - subscribed 127.0.0.1
[2023-05-18 23:24:58,732] - INFO - client 127.0.0.1:58760 served
[2023-05-18 23:25:01,475] - INFO - connected 127.0.0.1:58764
[2023-05-18 23:25:01,475] - INFO - subscribed 127.0.0.1
[2023-05-18 23:25:01,475] - INFO - client 127.0.0.1:58764 served
[2023-05-18 23:25:02,309] - INFO - connected 127.0.0.1:58767
[2023-05-18 23:25:02,309] - INFO - subscribed 127.0.0.1
[2023-05-18 23:25:02,309] - INFO - client 127.0.0.1:58767 served
[2023-05-18 23:27:54,633] - INFO - connected 127.0.0.1:58827
[2023-05-18 23:27:54,633] - INFO - subscribed 127.0.0.1
[2023-05-18 23:27:54,633] - INFO - client 127.0.0.1:58827 served
[2023-05-18 23:28:56,707] - INFO - connected 127.0.0.1:58856
[2023-05-18 23:28:56,707] - INFO - subscribed 127.0.0.1
[2023-05-18 23:28:56,707] - INFO - client 127.0.0.1:58856 served
[2023-05-18 23:29:15,543] - INFO - connected 127.0.0.1:58860
[2023-05-18 23:29:15,543] - INFO - subscribed 127.0.0.1
[2023-05-18 23:29:15,543] - INFO - client 127.0.0.1:58860 served
[2023-05-18 23:29:54,797] - INFO - connected 127.0.0.1:58866
[2023-05-18 23:29:54,797] - INFO - subscribed 127.0.0.1
[2023-05-18 23:29:54,797] - INFO - client 127.0.0.1:58866 served
[2023-05-18 23:30:27,131] - INFO - connected 127.0.0.1:58877
[2023-05-18 23:30:27,131] - INFO - subscribed 127.0.0.1
[2023-05-18 23:30:27,132] - INFO - client 127.0.0.1:58877 served
[2023-05-18 23:30:33,668] - INFO - connected 127.0.0.1:58880
[2023-05-18 23:30:33,668] - INFO - subscribed 127.0.0.1
[2023-05-18 23:30:33,668] - INFO - client 127.0.0.1:58880 served
[2023-05-18 23:35:28,123] - INFO - connected 127.0.0.1:58983
[2023-05-18 23:35:28,123] - INFO - subscribed 127.0.0.1
[2023-05-18 23:35:28,123] - INFO - client 127.0.0.1:58983 served
[2023-05-18 23:35:47,508] - INFO - connected 127.0.0.1:58993
[2023-05-18 23:35:47,508] - INFO - subscribed 127.0.0.1
[2023-05-18 23:35:47,508] - INFO - client 127.0.0.1:58993 served
[2023-05-18 23:35:51,935] - INFO - connected 127.0.0.1:58997
[2023-05-18 23:35:51,937] - INFO - subscribed 127.0.0.1
[2023-05-18 23:35:51,937] - INFO - client 127.0.0.1:58997 served
[2023-05-18 23:36:11,888] - INFO - connected 127.0.0.1:59004
[2023-05-18 23:36:11,888] - INFO - subscribed 127.0.0.1
[2023-05-18 23:36:11,888] - INFO - client 127.0.0.1:59004 served
[2023-05-18 23:36:43,323] - INFO - connected 127.0.0.1:59025
[2023-05-18 23:36:43,323] - INFO - subscribed 127.0.0.1
[2023-05-18 23:36:43,323] - INFO - client 127.0.0.1:59025 served
