[2023-05-18 20:01:46,342] - INFO - server started on 127.0.0.1:8000
[2023-05-18 20:02:38,930] - INFO - connected 127.0.0.1:54063
[2023-05-18 20:02:38,931] - INFO - subscribed 127.0.0.1
[2023-05-18 20:02:38,931] - INFO - client 127.0.0.1:54063 served
[2023-05-18 20:02:38,931] - INFO - connected 127.0.0.1:54064
[2023-05-18 20:03:11,237] - INFO - connected 127.0.0.1:54083
[2023-05-18 20:03:11,237] - INFO - subscribed 127.0.0.1
[2023-05-18 20:03:11,237] - INFO - client 127.0.0.1:54083 served
[2023-05-18 20:03:11,238] - INFO - connected 127.0.0.1:54084
[2023-05-18 20:03:49,200] - INFO - connected 127.0.0.1:54098
[2023-05-18 20:03:49,200] - INFO - subscribed 127.0.0.1
[2023-05-18 20:03:49,200] - INFO - client 127.0.0.1:54098 served
[2023-05-18 20:03:49,201] - INFO - connected 127.0.0.1:54099
[2023-05-18 20:03:53,545] - INFO - connected 127.0.0.1:54102
[2023-05-18 20:03:53,545] - INFO - subscribed 127.0.0.1
[2023-05-18 20:03:53,545] - INFO - client 127.0.0.1:54102 served
[2023-05-18 20:03:53,546] - INFO - connected 127.0.0.1:54103
[2023-05-18 20:03:54,482] - INFO - connected 127.0.0.1:54108
[2023-05-18 20:03:54,482] - INFO - subscribed 127.0.0.1
[2023-05-18 20:03:54,482] - INFO - client 127.0.0.1:54108 served
[2023-05-18 20:03:54,482] - INFO - connected 127.0.0.1:54109
[2023-05-18 20:04:00,524] - INFO - connected 127.0.0.1:54113
[2023-05-18 20:04:00,525] - INFO - subscribed 127.0.0.1
[2023-05-18 20:04:00,525] - INFO - client 127.0.0.1:54113 served
[2023-05-18 20:04:00,525] - INFO - connected 127.0.0.1:54114
