[2023-05-18 22:33:17,556] - INFO - server started on 127.0.0.1:8000
[2023-05-18 22:33:19,078] - INFO - connected 127.0.0.1:57243
[2023-05-18 22:33:19,078] - INFO - subscribed 127.0.0.1
[2023-05-18 22:33:19,078] - INFO - client 127.0.0.1:57243 served
[2023-05-18 22:33:19,079] - INFO - connected 127.0.0.1:57244
[2023-05-18 22:33:19,080] - INFO - write value:value to 127.0.0.1
[2023-05-18 22:33:19,080] - INFO - client 127.0.0.1:57244 served
[2023-05-18 22:34:33,555] - INFO - connected 127.0.0.1:57277
[2023-05-18 22:34:33,556] - WARNING - wrong request signature: ()
