[2023-05-18 23:10:41,413] - INFO - server started on 127.0.0.1:8000
[2023-05-18 23:10:42,768] - INFO - connected 127.0.0.1:58370
[2023-05-18 23:10:42,768] - INFO - subscribed 127.0.0.1
[2023-05-18 23:10:42,768] - INFO - client 127.0.0.1:58370 served
[2023-05-18 23:12:02,101] - INFO - connected 127.0.0.1:58426
[2023-05-18 23:12:02,101] - INFO - subscribed 127.0.0.1
[2023-05-18 23:12:02,101] - INFO - client 127.0.0.1:58426 served
[2023-05-18 23:12:47,771] - INFO - connected 127.0.0.1:58436
[2023-05-18 23:12:47,771] - INFO - subscribed 127.0.0.1
[2023-05-18 23:12:47,771] - INFO - client 127.0.0.1:58436 served
[2023-05-18 23:13:05,588] - INFO - connected 127.0.0.1:58444
[2023-05-18 23:13:05,589] - INFO - subscribed 127.0.0.1
[2023-05-18 23:13:05,589] - INFO - client 127.0.0.1:58444 served
