[2023-05-18 20:06:21,942] - INFO - server started on 127.0.0.1:8000
[2023-05-18 20:06:23,201] - INFO - connected 127.0.0.1:54174
[2023-05-18 20:06:23,201] - INFO - subscribed 127.0.0.1
[2023-05-18 20:06:23,201] - INFO - client 127.0.0.1:54174 served
[2023-05-18 20:06:23,202] - INFO - connected 127.0.0.1:54175
[2023-05-18 20:06:23,203] - INFO - write key:value to 127.0.0.1
[2023-05-18 20:06:23,203] - INFO - client 127.0.0.1:54175 served
[2023-05-18 21:54:41,666] - INFO - connected 127.0.0.1:55661
[2023-05-18 21:54:41,667] - INFO - subscribed 127.0.0.1
[2023-05-18 21:54:41,668] - INFO - client 127.0.0.1:55661 served
[2023-05-18 21:54:41,669] - INFO - connected 127.0.0.1:55662
[2023-05-18 21:54:41,672] - INFO - write key:value to 127.0.0.1
[2023-05-18 21:54:41,672] - INFO - client 127.0.0.1:55662 served
[2023-05-18 21:55:35,903] - INFO - connected 127.0.0.1:55672
[2023-05-18 21:55:35,903] - INFO - subscribed 127.0.0.1
[2023-05-18 21:55:35,904] - INFO - client 127.0.0.1:55672 served
[2023-05-18 21:55:35,904] - INFO - connected 127.0.0.1:55673
[2023-05-18 21:55:35,905] - INFO - write value:value to 127.0.0.1
[2023-05-18 21:55:35,905] - INFO - client 127.0.0.1:55673 served
[2023-05-18 21:56:07,426] - INFO - connected 127.0.0.1:55682
[2023-05-18 21:56:07,426] - INFO - subscribed 127.0.0.1
[2023-05-18 21:56:07,426] - INFO - client 127.0.0.1:55682 served
[2023-05-18 21:56:07,427] - INFO - connected 127.0.0.1:55683
[2023-05-18 21:56:07,427] - INFO - write key:value to 127.0.0.1
[2023-05-18 21:56:07,428] - INFO - client 127.0.0.1:55683 served
[2023-05-18 21:56:19,036] - INFO - connected 127.0.0.1:55691
[2023-05-18 21:56:19,036] - INFO - subscribed 127.0.0.1
[2023-05-18 21:56:19,036] - INFO - client 127.0.0.1:55691 served
[2023-05-18 21:56:19,036] - INFO - connected 127.0.0.1:55692
[2023-05-18 21:56:19,038] - INFO - write value:value to 127.0.0.1
[2023-05-18 21:56:19,038] - INFO - client 127.0.0.1:55692 served
[2023-05-18 21:56:20,788] - INFO - connected 127.0.0.1:55696
[2023-05-18 21:56:20,788] - INFO - subscribed 127.0.0.1
[2023-05-18 21:56:20,788] - INFO - client 127.0.0.1:55696 served
[2023-05-18 21:56:20,789] - INFO - connected 127.0.0.1:55697
[2023-05-18 21:56:20,790] - INFO - write value:value to 127.0.0.1
[2023-05-18 21:56:20,790] - INFO - client 127.0.0.1:55697 served
[2023-05-18 21:56:21,725] - INFO - connected 127.0.0.1:55701
[2023-05-18 21:56:21,725] - INFO - subscribed 127.0.0.1
[2023-05-18 21:56:21,725] - INFO - client 127.0.0.1:55701 served
[2023-05-18 21:56:21,726] - INFO - connected 127.0.0.1:55702
[2023-05-18 21:56:21,727] - INFO - write value:value to 127.0.0.1
[2023-05-18 21:56:21,727] - INFO - client 127.0.0.1:55702 served
