[2023-05-18 17:00:24,387] - INFO - server started on 127.0.0.1:8000
[2023-05-18 17:00:26,513] - INFO - connected 127.0.0.1:64684
[2023-05-18 17:00:26,513] - INFO - client 127.0.0.1:64684 served
[2023-05-18 17:00:26,514] - INFO - connected 127.0.0.1:64685
[2023-05-18 17:00:26,515] - INFO - write key:value to 127.0.0.1:64685
[2023-05-18 17:00:26,515] - INFO - client 127.0.0.1:64685 served
[2023-05-18 17:00:34,233] - INFO - connected 127.0.0.1:64689
[2023-05-18 17:00:34,233] - INFO - client 127.0.0.1:64689 served
[2023-05-18 17:00:34,234] - INFO - connected 127.0.0.1:64690
[2023-05-18 17:00:34,235] - INFO - write key:value to 127.0.0.1:64690
[2023-05-18 17:00:34,235] - INFO - client 127.0.0.1:64690 served
