[2023-05-18 14:38:10,324] - INFO - server started on 127.0.0.1:8000
[2023-05-18 14:38:12,923] - INFO - connected 127.0.0.1:59235
[2023-05-18 14:38:12,924] - INFO - connected 127.0.0.1:59236
[2023-05-18 14:38:12,924] - INFO - client 127.0.0.1:59235 served
[2023-05-18 14:40:28,007] - INFO - connected 127.0.0.1:59402
[2023-05-18 14:40:28,008] - INFO - connected 127.0.0.1:59403
[2023-05-18 14:40:28,009] - INFO - client 127.0.0.1:59402 served
[2023-05-18 14:41:36,814] - INFO - connected 127.0.0.1:59432
[2023-05-18 14:41:36,816] - INFO - connected 127.0.0.1:59433
[2023-05-18 14:42:12,198] - INFO - connected 127.0.0.1:59442
[2023-05-18 14:42:22,566] - INFO - connected 127.0.0.1:59454
[2023-05-18 14:42:29,327] - INFO - connected 127.0.0.1:59458
[2023-05-18 14:42:29,328] - INFO - connected 127.0.0.1:59459
