[2023-05-18 23:04:45,830] - INFO - server started on 127.0.0.1:8000
[2023-05-18 23:04:46,993] - INFO - connected 127.0.0.1:58162
[2023-05-18 23:04:46,994] - INFO - subscribed 127.0.0.1
[2023-05-18 23:04:46,994] - INFO - client 127.0.0.1:58162 served
[2023-05-18 23:10:22,107] - INFO - connected 127.0.0.1:58350
[2023-05-18 23:10:22,108] - INFO - subscribed 127.0.0.1
[2023-05-18 23:10:22,108] - INFO - client 127.0.0.1:58350 served
[2023-05-18 23:10:36,270] - INFO - connected 127.0.0.1:58365
[2023-05-18 23:10:36,271] - INFO - subscribed 127.0.0.1
[2023-05-18 23:10:36,271] - INFO - client 127.0.0.1:58365 served
