[2023-05-18 23:14:45,407] - INFO - server started on 127.0.0.1:8000
[2023-05-18 23:14:46,471] - INFO - connected 127.0.0.1:58494
[2023-05-18 23:14:46,471] - INFO - subscribed 127.0.0.1
[2023-05-18 23:14:46,472] - INFO - client 127.0.0.1:58494 served
[2023-05-18 23:15:18,751] - INFO - connected 127.0.0.1:58504
[2023-05-18 23:15:18,751] - INFO - subscribed 127.0.0.1
[2023-05-18 23:15:18,751] - INFO - client 127.0.0.1:58504 served
[2023-05-18 23:22:51,704] - INFO - connected 127.0.0.1:58712
[2023-05-18 23:22:51,705] - INFO - subscribed 127.0.0.1
[2023-05-18 23:22:51,705] - INFO - client 127.0.0.1:58712 served
[2023-05-18 23:24:33,832] - INFO - connected 127.0.0.1:58742
[2023-05-18 23:24:33,833] - INFO - subscribed 127.0.0.1
[2023-05-18 23:24:33,833] - INFO - client 127.0.0.1:58742 served
